"species","IUCN_category","area_global","pa_count","pa_quality_mean","mhw_freq","mhw_total_days","mhw_max_int","mhw_mean_int","mhw_cum_int","slope_intensity","slope_freq","slope_cum","slope_max","slope_total","dem_mean","dem_range","order","adult_mass_g","brain_mass_g","trophic_level","det_diet_breadth_n","habitat_breadth_n","activity_cycle","foraging_stratum","fossoriality","hibernation_torpor","max_longevity_d","litter_size_n","litters_per_year_y","generation_length_d","density_n_km2","Exposure","IUCN_num","Trait_sensitivity","Sensitivity","Suitability","Risk_index","Risk_level"
"Rhinolophus tatar","LC",0.00201443366465932,0.875,0.343121638999299,0.826034402062558,0.83243494183405,0.490773791433,0.0899645653625165,0.187256141601549,0.467100139325748,0.680978749028654,0.381648698976471,0.439504012748766,0.714720787149411,0.14878034102376,0.332108385608849,"Chiroptera",3.89130648683618e-06,0.000104666834879534,1,0,0,1,"A",2,1,6883.32694999726,1.02297666666667,1.0036,2686.93819335032,1700.23611653077,0.511041622952272,0,0.200021711628273,0.100010855814137,0.340204959859313,0.0337219332059623,"Medium"
"Rhinolophus thailandensis","LC",0.00231946953988304,0.5,0.286405650585289,0.60763007550009,0.832608608074956,0.691231847067854,0.219638843890157,0.311612360700159,0.376945705558701,0.111330215180772,0.19963266940085,0.268990850953386,0.158707881362988,0.12415854410089,0.195066730391511,"Chiroptera",5.45341914675525e-06,7.43337741707044e-05,1,0,0.142857142857143,1,"A",2,1,5796.77834886523,1.03051500000001,1.01385,2382.05107046124,1738.36134042403,0.377832905768991,0,0.228587386010092,0.114293693005046,0.221590078923514,0.0336147903104813,"Medium"
"Rhinolophus thomasi","LC",0.0167049804504383,0.75,0.572321326347583,0.72520967213476,0.741073758573108,0.595249722429528,0.247727868023277,0.28629884332814,0.416685778567359,0.265421334664787,0.315416576242582,0.359917610228784,0.310574834402328,0.211416888992065,0.461458400377523,"Chiroptera",2.0155290582256e-06,3.2723020151234e-05,1,0,0.142857142857143,1,"A",2,0,5259.81276101389,1.01935000000001,1.0329,2092.60537347821,1902.06868290049,0.426357599859465,0,0.22857837628127,0.114289188140635,0.402380319233522,0.029120850019495,"Low"
"Rhinolophus trifoliatus","NT",0.0159493673963101,1,0.414201438037669,0.610441273562319,0.559104564720198,0.581925781517693,0.115296119439016,0.140701457783819,0.402179535641772,0.460956396181317,0.305281143990762,0.33476886915514,0.451570090137305,0.087196910702684,0.276077525012147,"Chiroptera",4.15838737898934e-06,5.65583064342316e-05,1,0,0,1,"A",2,1,2727.0042957232,1,1.543045,1413.04403198937,1729.19318087694,0.396222523212934,0.25,0.200012143338763,0.225006071669381,0.358685048229762,0.0571748142140373,"High"
"Rhinolophus virgo","LC",0.00319848522113143,0.875,0.762625092729154,0.631893956227457,0.669127902809957,0.541624625274467,0.0897052149807151,0.143662746648166,0.419612742991618,0.355882060705589,0.273346804980032,0.348070846735233,0.417912717609029,0.104233148768389,0.275421004511186,"Chiroptera",1.33229886899658e-06,3.7828516847817e-05,1,0,0.285714285714286,1,"A",2,1,5491.11987273448,1.06621000000001,1.0292,2254.06979741124,1905.95994738214,0.389083961896226,0,0.257150689306,0.128575344653,0.404095546245972,0.0298110764275995,"Medium"
"Rhinolophus yunanensis","LC",0.00475945304943209,0.75,0.431467905971711,0.643345525425499,0.76043542176361,0.598538624992966,0.257025295652411,0.305717167158077,0.35043896547934,0.191365221333496,0.257124774010669,0.269898840717712,0.236656604362534,0.209273967669531,0.593698982482279,"Chiroptera",5.45341914675525e-06,7.43337741707044e-05,1,0,0.142857142857143,1,"A",2,1,5796.77834886523,1.03051500000001,1.01385,2382.05107046124,1738.36134042403,0.387054644089631,0,0.228587386010092,0.114293693005046,0.397840061834591,0.0266382939393042,"Low"
"Rhinopithecus avunculus","CR",0.000121068624127895,0.5,0.827293844367016,0.815396791849322,0.61594393472612,0.631626100364974,0.262971206643262,0.222111549146366,0.556698376690062,0.381354451407269,0.389128337621827,0.48683378269273,0.36071533967185,0.101817715389901,0.0922182466875511,"Primates",0.00280786645028684,0.015891491945644,0,0.25,0,3,"Ar",2,0,9529.83140676322,1,0.733779969339,3940.42848116666,32.3095511529193,0.472277987081378,1,0.0537398716791862,0.526869935839593,0.304290175013719,0.173112830655805,"Very high"
"Rhinopithecus bieti","EN",0.000351924543850092,0.25,0.999256533214379,0.73032920957872,0.659293992248227,0.184927529885011,0.223019502757091,0.229175754000506,0.445227404210393,0.250153645335783,0.323616821994322,0.368192932603715,0.332548312506503,0.717120431673289,0.350720370662087,"Primates",0.00458019816986048,0.0231563846118353,0,0,0,3,"Ar",2,0,10767.5,1.031505,0.949606267967002,4015,7,0.374648510512027,0.75,0.00554731655633915,0.37777365827817,0.463489852018721,0.075933535810856,"High"
"Rhinopithecus brelichi","CR",7.6857713493836e-07,0.125,1,0.703087888708364,0.720331941506327,0.484152075154151,0.296787252071828,0.299059703219184,0.530270126437877,0.0934149175072389,0.338120792340855,0.41490747937364,0.262016067673416,0.289152588546962,0,"Primates",0.00450255837562991,0.0205571698699676,0.5,0.25,0,3,"Ar",2,0,10767.5,1,0.726829969339001,4228.47120236665,16.92,0.414214824399288,1,0.155011945649119,0.57750597282456,0.282830671424819,0.171555176031647,"Very high"
"Rhinopithecus roxellana","EN",0.00297250475173491,0.375,0.980277238247909,0.709768199593217,0.6932550933761,0.405045840678352,0.339925182778887,0.335893215279052,0.773373191120912,0.242582406707019,0.484659780635375,0.563039676306881,0.370174858147159,0.397857008633966,0.564836666112628,"Primates",0.00458019816986048,0.021728204925206,0.5,0,0,3,"Ar",2,0,10767.5,1,0.713423302673,4745,4.6,0.491771744462296,0.75,0.105261680619013,0.427630840309507,0.464188683549247,0.112679386138249,"Very high"
"Rhinopithecus strykeri","CR",2.38119946280322e-06,0.125,0.285714285714286,0.761678557678722,0.625449505741185,0.347239442661834,0.218190592853084,0.197833234198034,0.600635065484758,0.207526686970455,0.321653672285972,0.484003040203943,0.291174291307351,0.45513082337457,0.111626737848016,"Primates",0.0034932410506325,0.0169198366561301,0,0.25,0,3,"Ar",2,0,8980.02960389752,1.040235,0.941147505272999,2190,28.609350277126,0.405538408938534,1,0.0540826155413525,0.527041307770676,0.195494845627267,0.171951306111255,"Very high"
"Rhinopoma cystops","LC",0.0672049350313725,1,0.829730104226836,0.695007838910416,0.812142721482777,0.814772177758367,0.176923287126974,0.241596509171439,0.566026188256325,0.33901955252348,0.486923359540736,0.474573268068384,0.59281454753719,0.199617548498086,0.437631349815401,"Chiroptera",3.17702037991493e-06,4.12067661163687e-05,1,0,0.428571428571429,1,"A",2,1,4714.35288682906,0.995,1,1620.32048010539,2240.4623273275,0.519979945037609,0,0.285723162471585,0.142861581235792,0.506836787514339,0.0366347067445214,"Medium"
"Rhinopoma hadramauticum","EN",2.71329229543381e-06,0,NA,0.62232780464883,0.684647292733089,0.633422178940257,0.102807175461353,0.139848236235931,0.639423474749592,0.261949217657871,0.35537413178323,0.464082583098794,0.438274227114657,0.049813760680048,0.0131768057378157,"Chiroptera",2.28571554214798e-06,7.142352872838e-05,1,0,0.142857142857143,1,"A",2,0,4553.70649356338,1.07870500000001,1.066365,2059.63482610605,1871.67648071113,0.43421563224236,0.75,0.228586170420283,0.489293085210141,0.0157483199275398,0.209112838667403,"Very high"
"Rhinopoma hardwickii","LC",0.200982310249846,1,0.764316012135663,0.619537818015119,0.81004236008805,0.825681000768836,0.258174954489483,0.323784127511187,0.366499517604815,0.182520836130322,0.313930443266747,0.294633013156336,0.30551572770777,0.137174450510048,0.68600921555156,"Chiroptera",3.17702037991493e-06,4.12067661163687e-05,1,0,0.428571428571429,1,"A",2,1,4714.35288682906,0.995,1,1620.32048010539,2240.4623273275,0.430031979873866,0,0.285723162471585,0.142861581235792,0.557696397689424,0.0271729433157321,"Low"
"Rhinopoma microphyllum","LC",0.0848174455557979,1,0.780090820432511,0.616093695571128,0.824113022058294,0.843408049117306,0.286517182540795,0.354974519343132,0.373245186081718,0.162585190703933,0.306577219436504,0.321112122755991,0.2656703324994,0.117174536691987,0.528334178027933,"Chiroptera",8.15217839420986e-06,6.716298889065e-05,1,0,0.285714285714286,1,"A",2,1,5908.79519999763,1,1,2181.29021998355,2144.06312098387,0.43542965201082,0,0.257157920176314,0.128578960088157,0.502083396141646,0.0278769026324135,"Low"
"Rhinopoma muscatellum","LC",0.00688193789028265,0.625,0.886513921652396,0.718825464240582,0.837819980000902,0.850152274774771,0.250423633411685,0.317189804045918,0.585363064428526,0.213099732376318,0.464809623495899,0.451592089143083,0.432294089422283,0.18349299147801,0.393289372764192,"Chiroptera",2.28571554214798e-06,4.0521140660659e-05,1,0,0.428571428571429,1,"A",2,0,5009.76699773229,1.036425,1.03545,2049.93293798922,2013.61621079172,0.512156975533997,0,0.285722847085526,0.142861423542763,0.419035644756976,0.0425076947069943,"Medium"
